"Content","Location","Image_URL","Post_date","Likes","IsVideo","Views"
"Looking for a #fall blend? Get ready to fall in love with #WholeBlends Maple Remedy. Blended with castor oil and maple to repair damaged hair. Psst: you’ll love its warm and spicy maple scent.-#ourblend #blendedmakesusbetter #blendedingredients #maple #haircare #hair #instaair #healthyhair #hairgoals #fall #fallishere #fallweather",,"https://scontent-iad3-1.cdninstagram.com/vp/f1f5d8da7d9f365002ef66962624b864/5E5CD136/t51.2885-15/fr/e15/s1080x1080/71679207_677251353130911_1068407419967931906_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=103","Oct 28, 2019","1,781","False",
"Whole Blends Miracle Nectar does it all! Literally…1️⃣Repairs hair2️⃣Tames frizz3️⃣Reduces 50% of breakage4️⃣Detangles5️⃣Seals in moisture6️⃣Nourishes7️⃣Restores softness8️⃣Gives you manageable hair9️⃣Protects against heat, up to 450🔟Instantly strengthens hair-#ourblend #blendedmakesusbetter #blendedingredients #honey #haircare #hair #instaair #healthyhair #hairgoals",,"https://scontent-iad3-1.cdninstagram.com/vp/eae80a835fc3d67d93e74ca11caff771/5E57AF80/t51.2885-15/fr/e15/s1080x1080/73475315_1439508756208903_1652995540210584016_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=107","Oct 27, 2019","1,402","False",
"Here’s one of our favorite reviews for #WholeBlends Honey Treasures: “With the upcoming season change, I transition my beauty products as well and this Garnier Whole Blends Honey Treasures is SO GOOD it reminds me so much of my favorite season!” @youmeandlucy_-#ourblend #blendedmakesusbetter #blendedingredients #honey #haircare #hair #instaair #healthyhair #hairgoals",,"https://scontent-iad3-1.cdninstagram.com/vp/30ef2c448c836dfe6560b0648518978a/5E639F19/t51.2885-15/e15/74611111_210849859912854_2597973323436351914_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=106","Oct 26, 2019","733","False",
"Two of our favorite things this #fall: Micellar Water Waterproof and #pumpkins 🎃 #HappyNationalPumpkinday!-#skincare #micellarwater #micellar #beauty #makeup #cleanser #backtoschool #bts #makeupremover",,"https://scontent-iad3-1.cdninstagram.com/vp/a7dbeac9eb510d6b33905782d5c65030/5E5314E8/t51.2885-15/fr/e15/s1080x1080/74609572_176334016749086_699846526854856637_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=102","Oct 26, 2019","1,436","False",
"Drop a 🥥 if #WholeBlends Smoothing with coconut oil and cocoa butter extracts is your blend.-#ourblend #blendedmakesusbetter #blendedingredients #coconutoil #coconut #haircare #hair #instaair #healthyhair #hairgoals #serum",,"https://scontent-iad3-1.cdninstagram.com/vp/a881f917b717a921b6f79d67e801e81e/5E5F1EE9/t51.2885-15/fr/e15/s1080x1080/73185595_193307775025449_1426101266428497876_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=109","Oct 25, 2019","1,258","False",
"Does your hair need a little extra love this weekend? Check out our fave hair masks:🧡Papaya to repair damaged hair🥑 Avocado to smooth hair🥥 Coconut to nourish dry hair❤️Goji to keep the vibrancy of your color🍌Banana to strengthen hairPSSST-- you can get a FREE SAMPLE of Fructis Treats Hair Mask! Head to garnierusa.com-#Fructistreats #coconut #avocado #papaya #banana #goji #hairmask #hairtreatment",,"https://scontent-iad3-1.cdninstagram.com/vp/bec966895dc1d478e5af84f2ee508a0f/5E576F8B/t51.2885-15/fr/e15/s1080x1080/74673873_1274181116123266_8891650859838917398_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=110","Oct 25, 2019","1,285","False",
"Drop a 🙋🏽‍♀️ if you are one of those girls that run out of conditioner before shampoo!-#ourblend #blendedmakesusbetter #blendedingredients #oliveoil #olive #haircare #hair #instaair #healthyhair #hairgoals #conditioner",,"https://scontent-iad3-1.cdninstagram.com/vp/7848303a2cc1a05df55116ea3a88707a/5E4AC2B4/t51.2885-15/fr/e15/s1080x1080/72876160_3120444684694457_7225454251962502987_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=105","Oct 24, 2019","1,091","False",
"The sleek hair squad is here 🙌🏼 Which ones do you have? Comment below⬇️-#Fructis #haircare #hair #instahair #hairgoals #shampoo #blowoutstyles #blowdrystyle #sleek",,"https://scontent-iad3-1.cdninstagram.com/vp/c955350f007867aca1ac12071bd72029/5E47B80C/t51.2885-15/fr/e15/s1080x1080/75223543_162292614844397_4831233255940617485_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=105","Oct 24, 2019","1,161","False",
"TAP FOR TUTORIAL➡️ Water Rose Micellar Cleansing Water1️⃣Apply on a cotton round2️⃣Gently wipe away makeup, dirt, and impurities🌹Best for: Normal to Dry skin💧Cleanses AND hydrates skinAvailable @Walgreens-#skincare #new #rosewater #roses #micellarwater #beauty #makeup #skincaregoals #healthyskin #new""",,"https://scontent-iad3-1.cdninstagram.com/vp/d8a40c30309f1f8d779b63976f349a62/5DC49475/t50.2886-16/74115586_144399113541518_8839518058041474927_n.mp4?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=102","Oct 23, 2019",,"True","12,945"
"Mood all season 🍁  Tag a friend a that needs to try #WholeBlends Maple Remedy this fall.-#ourblend #blendedmakesusbetter #blendedingredients #maple #haircare #hair #instaair #healthyhair #hairgoals #fall #shampoo #fall #fallweather #sweaterweather",,"https://scontent-iad3-1.cdninstagram.com/vp/5c814f429566743a69cb30b95df44f38/5E43A2C8/t51.2885-15/fr/e15/s1080x1080/71177351_569572543786878_1829071163886496460_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=106","Oct 23, 2019","1,100","False",
"What do you love the most about #WholeBlends Oat Delicacy?1️⃣The smell2️⃣It doesn’t weigh down your hair3️⃣Everything-#ourblend #blendedmakesusbetter #blendedingredients #oatmilk #haircare #instaair #healthyhair #hairgoals #fall #shampoo #conditioner",,"https://scontent-iad3-1.cdninstagram.com/vp/695b19a39847c603008a444912c8eca9/5E62081F/t51.2885-15/fr/e15/s1080x1080/73412355_2322341804746828_6033543968990917275_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=104","Oct 22, 2019","1,446","False",
"Name a more hydrating duo 💧Made with rose water + hyaluronic acid to deeply hydrate skin.1️⃣Water Rose Moisture Cream: for normal to dry skin2️⃣Water Rose Moisture Gel: for normal to combo skin✨BONUS: their unique gel texture absorbs instantly into the skin.-#skincare #new #rosewater #roses #micellarwater #beauty #makeup #skincaregoals #healthyskin #breakingnews #newproduct #waterrose",,"https://scontent-iad3-1.cdninstagram.com/vp/994570bc0a8fc4460e7142ceca1d9238/5E5F7B6D/t51.2885-15/fr/e15/s1080x1080/75419842_216633735991319_2195391089834767455_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=111","Oct 22, 2019","2,426","False",
"Find your match:Micellar Pink➡️ cleanses and refreshes skin Micellar Blue➡️ removes waterproof makeupMicellar Green➡️ mattifies skin Water Rose Micellar➡️ cleanses and hydrates-#skincare #micellarwater #micellar #beauty #makeup #cleanser#makeupremover",,"https://scontent-iad3-1.cdninstagram.com/vp/ea0d0a935cd45dec3dae4262de59934a/5E4502CA/t51.2885-15/fr/e15/s1080x1080/75244351_330741334430849_8791099913177290151_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=105","Oct 21, 2019","1,828","False",
"Shake it off Shake it off🎶 Do you love this dreamy light golden brown shade in Nutrisse 63?-#haircolor #nutrisse #blonde #golden #hairinspo #healthyhair",,"https://scontent-iad3-1.cdninstagram.com/vp/6c896aba7a0017075c097740f6ca64c4/5DC4401F/t50.2886-16/74349512_402798957059360_3925122618198212587_n.mp4?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=108","Oct 20, 2019",,"True","4,131"
"Currently in our shower: #Fructis Pure Clean. Drop a 💚 if you love it too!-#hair #shampoo #aloe #vitamine #healthyhair #instahair #hairinspo #pureclean #shampoo",,"https://scontent-iad3-1.cdninstagram.com/vp/e8e8d397c63de5c401fee2c47c6daec3/5E562111/t51.2885-15/fr/e15/s1080x1080/73241005_487078448511060_3551982769618729509_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=100","Oct 20, 2019","2,341","False",
"Life hack: #Fructis Dry Shampoo 🙌🏼-#hair #dryshampoo #aloe #vitamine #healthyhair #instahair #hairinspo #lifehack",,"https://scontent-iad3-1.cdninstagram.com/vp/82fb3d4ca8c1f619035a2da24453905d/5E628993/t51.2885-15/fr/e15/s1080x1080/75467902_2409289445988414_2685382020701134011_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=106","Oct 19, 2019","626","False",
"Sleek & Shine is a cult favorite for a reason:✔Infused with Argan oil✔For long-lasting frizz-control➡Best for: frizz, dry hair-#haircare #hair #sleekandshine #sleekshot #hairserum #healthyhair #instahair #shampoo",,"https://scontent-iad3-1.cdninstagram.com/vp/f6c698888725be34265d04775008374d/5E600ADB/t51.2885-15/fr/e15/s1080x1080/74959889_1313311492181282_6795171067074667886_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=102","Oct 19, 2019","768","False",
"Transition your hair care from #summer ☀️ to #fall 🍁 with #WholeBlends Legendary Olive. This  nourishing blend of #oliveoil and olive leaf extract restores dry hair. Is this your #fall blend? Blended makes us better.-#ourblend #blendedmakesusbetter #blendedingredients #oliveoil #olive #haircare #hair #instaair #healthyhair #hairgoals #shampoo",,"https://scontent-iad3-1.cdninstagram.com/vp/fdf92f9204b84d2567fca86f3b2ddeb2/5E5596C0/t51.2885-15/fr/e15/p1080x1080/74607011_2543032252457965_4423001172783838537_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=101","Oct 18, 2019","1,008","False",
"The perfect at-home blowout is now possible with #Fructis Sleek Shot. This in-shower styler is our go-to for a fast, frizz-free, and sleek do. Comment if you can't live without Sleek Shot👇🏼-#SleekItToBelieveIt #SleekShot #haircare #hair #instahair #TLC #timesaving #blowout #blowdry #selfcare",,"https://scontent-iad3-1.cdninstagram.com/vp/e5c0c451301f74a5a397dfd53bd479b4/5E47C8F2/t51.2885-15/fr/e15/s1080x1080/74600045_252367105720858_687385417447140584_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=110","Oct 18, 2019","666","False",
"There's something about the sweet smell of honey...Are you a #WholeBlends Honey Treasures gal? -#ourblend #blendedmakesusbetter #blendedingredients #honey #haircare #hair #instaair #healthyhair #hairgoals #shampoo #conditioner",,"https://scontent-iad3-1.cdninstagram.com/vp/a4864cd2a3ee36e05859bebfeea34d3f/5E5AEED2/t51.2885-15/fr/e15/s1080x1080/71107154_254338185531019_4688607996571053918_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=107","Oct 17, 2019","1,033","False",
"As the weather turns crisp, make sure to add a nourishing treatment to keep your hair healthy. We love #WholeBlends Ginger Recovery to strengthen hair and prevent breakage.-#ourblend #blendedmakesusbetter #blendedingredients #honey #ginger #instaair #healthyhair #hairgoals",,"https://scontent-iad3-1.cdninstagram.com/vp/f0a0a5852d36ef750b482ac6cf44919e/5E5C9FD9/t51.2885-15/fr/e15/s1080x1080/71175884_1003932316616854_1847562880522846174_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=110","Oct 17, 2019","673","False",
"Moms, here’s a tip to make bath time easier:➡️Spritz #WholeBlends Oat Delicacy detangler on your kiddies hair to gently untie knots and detangle hair. No fuzz just easy detangling!-#ourblend #blendedmakesusbetter #blendedingredients #oatmilk #haircare #instaair #healthyhair #hairgoals #summer #detangler",,"https://scontent-iad3-1.cdninstagram.com/vp/ba9d91e6874ae0ff98d33d69ee387a0a/5E61D40D/t51.2885-15/fr/e15/s1080x1080/73512649_151714062751647_1291909694575244336_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=103","Oct 16, 2019","946","False",
